_RAJ2000,_DEJ2000,KIC,Teff,log(g),Mass,Prot,e_Prot,Rper,LPH,w,dP/P
289.60226,52.2531,12884118,5692,4.3,1.0171,13.974,0.092,818.55,0.432,0.2928,0.0065836554
289.49863,52.20203,12883963,6436,4.19,1.2526,29.624,0.562,823.86,0.552,0.2759,0.0189711045
290.59171,51.99826,12737192,5681,4.57,1.0141,13.435,0.161,3972.05,0.979,0.6165,0.0119836249
290.40497,51.95826,12736892,5039,4.63,0.8444,2.65,0.004,39986.73,1.513,0.7274,0.001509434
290.31552,51.94629,12736731,4913,4.24,0.8116,10.757,0.028,5717.16,1.24,0.6549,0.0026029562
290.83014,51.7528,12647704,6016,4.58,1.1119,3,0.013,8552.55,1.473,0.7613,0.0043333333
290.52164,51.7755,12647169,5712,4.75,1.0227,8.036,0.025,11599.48,1.298,0.7226,0.0031110005
289.9118,51.71983,12646133,5471,4.9,0.957,16.336,0.077,7777.69,1.278,0.6617,0.0047135162
289.85938,51.76201,12646035,5815,4.49,1.052,25.521,0.319,978.89,0.564,0.332,0.0124995102
289.2431,51.72673,12645009,5607,4.71,0.9937,16.244,0.403,4523.9,0.803,0.546,0.0248091603
288.85858,51.75958,12644422,5486,4.93,0.961,21.36,0.977,4128.99,0.534,0.3947,0.0457397004
290.0289,51.67027,12601691,5831,4.55,1.0566,9.12,0.016,15701.56,1.206,0.6983,0.001754386
289.20718,51.65004,12600256,4909,4.3,0.8106,26.006,0.168,3334.08,0.795,0.5229,0.0064600477
290.54187,51.53082,12556897,4957,4.6,0.8231,8.686,0.031,13675.09,1.47,0.7618,0.0035689615
290.65842,51.49921,12509162,4715,4.23,0.7593,29.708,1.556,4099.85,0.567,0.3996,0.0523764643
289.11679,51.47848,12506494,6313,4.13,1.2088,4.769,0.242,1274.56,0.349,0.2743,0.0507443909
289.09262,51.40566,12506434,5069,4.44,0.8521,7.941,0.017,15527.25,1.369,0.7023,0.0021407883
288.99301,51.49616,12506232,6228,4.21,1.1799,15.776,0.036,1765.31,0.817,0.4616,0.0022819473
287.92435,51.44543,12504480,5940,4.29,1.0888,20.997,0.41,697.94,0.671,0.3994,0.019526599
287.87076,51.45771,12504373,5054,4.69,0.8482,33.56,0.507,2189.25,0.464,0.2917,0.0151072706
296.47012,51.30347,12471097,5796,4.29,1.0465,18.418,0.307,3010.93,0.677,0.4444,0.0166684765
291.2688,51.36861,12460097,4905,4.47,0.8095,19.858,0.055,6242.75,0.86,0.5222,0.0027696646
290.9469,51.32389,12459560,4785,4.51,0.778,35.106,2.049,1994.37,0.4,0.2716,0.0583660913
290.20523,51.32343,12458190,4666,4,0.7461,34.486,0.918,4623.86,0.56,0.3641,0.0266194978
289.1015,51.33825,12456229,5156,4.66,0.8746,23.981,0.62,3450.57,0.826,0.5263,0.0258538009
288.54645,51.34923,12455251,4623,4.43,0.7344,29.896,0.399,6822.41,0.787,0.4956,0.0133462671
288.1694,51.38219,12454613,5335,4.69,0.9211,23.267,0.128,5287.17,0.765,0.4964,0.0055013538
296.41537,51.27714,12418754,6265,4.71,1.1924,2.239,0.003,3768.83,1.156,0.6639,0.0013398839
295.92587,51.21822,12417597,5264,4.63,0.9026,20.751,0.191,5781.77,0.864,0.564,0.0092043757
295.77371,51.26849,12417224,4928,4.65,0.8155,37.101,1.125,4833.04,0.538,0.3122,0.0303226328
289.84848,51.20367,12404890,5427,4.32,0.9453,5.512,0.147,14491.02,1.382,0.7139,0.0266690856
289.32816,51.26416,12403956,4900,4.46,0.8082,11.66,0.045,6969.36,1.126,0.6058,0.0038593482
289.24353,51.25044,12403799,6235,4.36,1.1823,2.989,0.039,1322.87,0.372,0.2603,0.0130478421
288.71365,51.21648,12402866,5582,4.52,0.9868,16.597,0.216,3178.15,0.494,0.3397,0.0130144002
287.88934,51.24789,12401414,5139,4.57,0.8702,29.008,0.461,1393.5,0.431,0.3229,0.0158921677
287.62296,51.24539,12401027,4361,4.55,0.6876,12.23,0.012,11266.26,1.306,0.6996,0.0009811938
296.66122,51.18895,12367993,6371,4.52,1.2292,3.444,0.017,2135.1,0.55,0.4063,0.0049361208
291.29095,51.15403,12356766,5689,4.78,1.0163,19.956,0.385,2592.38,0.317,0.2516,0.0192924434
290.59518,51.15765,12355580,4655,4.56,0.7432,17.658,0.056,9062.41,1.059,0.6074,0.0031713671
288.34723,51.19451,12351666,5054,4.3,0.8482,34.856,0.167,1106.2,0.532,0.3145,0.0047911407
295.24457,51.01158,12314444,6059,4.45,1.1253,10.6,0.327,3705.14,0.63,0.4563,0.0308490566
291.42468,51.09606,12307301,5644,4.61,1.0038,13.423,0.025,9375.51,1.102,0.6453,0.0018624749
291.2142,51.05288,12306983,4021,4.48,0.5511,24.623,0.069,5394.28,1.076,0.6271,0.0028022581
289.03354,51.0506,12303348,6332,4.33,1.2154,6.081,0.014,2143.89,0.613,0.4476,0.0023022529
288.39441,51.07986,12302378,4838,4.67,0.792,26.421,0.682,7021.67,0.661,0.4457,0.0258128004
288.14893,51.00256,12302031,5032,4.15,0.8426,37.14,0.981,1579.64,0.505,0.2858,0.0264135703
287.78458,51.0283,12301454,5525,4.93,0.9714,11.059,0.036,10218.65,1.237,0.7059,0.0032552672
287.75003,51.03327,12301401,5552,4.52,0.9787,11.002,0.041,7710.04,1.351,0.7126,0.0037265952
296.4075,50.92496,12268054,4014,4.61,0.5484,13.533,0.012,12563.11,1.418,0.7492,0.0008867213
295.70105,50.98697,12266432,6279,4.27,1.1971,10.917,0.075,761.69,0.447,0.3041,0.0068700192
291.69312,50.93355,12258704,4896,4.29,0.8072,17.377,0.052,11342.26,1.207,0.6871,0.0029924613
291.36844,50.96925,12258118,6343,4.33,1.2193,4.845,0.157,1928.57,0.532,0.4086,0.0324045408
291.35507,50.97646,12258092,5865,4.5,1.0666,15.945,0.05,3113.72,0.595,0.4234,0.0031357792
290.46573,50.93251,12256697,5434,4.61,0.9472,24.402,0.403,4162.67,0.611,0.4126,0.0165150398
290.0733,50.94856,12255968,5054,4.64,0.8482,20.599,0.17,7775.9,0.903,0.5686,0.0082528278
289.50076,50.94548,12254931,4201,4.6,0.6231,35.215,0.348,3512.02,0.531,0.3689,0.0098821525
289.45605,50.93579,12254845,5555,4.81,0.9795,11.719,0.031,20728.32,1.311,0.7015,0.0026452769
289.44058,50.91133,12254814,6282,4.1,1.1982,1.825,0.006,914.13,0.768,0.4939,0.0032876712
288.97925,50.98884,12254050,4763,4.39,0.7722,11.546,0.014,16044.68,1.344,0.7109,0.0012125411
288.84644,50.95492,12253855,4964,4.54,0.8249,17.387,0.086,21717.97,1.277,0.6811,0.0049462242
287.71317,50.93279,12251956,4821,4.38,0.7875,34.785,0.742,2012.82,0.482,0.3139,0.0213310335
287.49005,50.95184,12251673,5435,4.31,0.9474,50.915,1.408,1286.21,0.608,0.2906,0.027653933
