_RAJ2000;_DEJ2000;KIC;Teff;log(g);Mass;Prot;e_Prot;n_Prot;Rper;LPH;w;Ref;_RA;_DE
291.03369;36.77104;1025986;5966;4.13;1.0966;9.724;0.016;   ;16745.51;0.885;0.5803;0;291.03369;36.77104
291.70566;36.84798;1164363;5692;4.04;1.0171;8.092;0.129;   ;11371.43;1.2;0.6778;0;291.70566;36.84798
291.72308;36.97447;1296255;5828;4.49;1.0558;4.721;0.012;   ;16143.32;1.335;0.7088;0;291.72308;36.97447
291.36044;37.09921;1432091;5514;4.64;0.9685;4.685;0.012;   ;3329.81;0.886;0.5015;0;291.36044;37.09921
291.39606;37.02207;1432278;5527;4.58;0.972;14.76;0.024;   ;15563.22;1.103;0.645;0;291.39606;37.02207
291.82703;37.08074;1434277;5927;4.09;1.0849;10.446;0.033;   ;13959.8;1.302;0.6866;0;291.82703;37.08074
290.69614;37.17886;1570191;5553;4.33;0.979;18.647;0.201;   ;4769.59;0.83;0.5347;0;290.69614;37.17886
290.75815;37.14333;1570466;5715;4.3;1.0236;8.637;0.019;   ;12274.47;1.204;0.687;0;290.75815;37.14333
291.23767;37.14878;1572558;5926;4;1.0846;3.995;0.026;   ;5602.39;1.148;0.6356;0;291.23767;37.14878
291.31747;37.1631;1572895;5887;4.05;1.073;26.052;0.314;   ;2266.41;0.698;0.3916;0;291.31747;37.1631
290.81155;37.23353;1718520;5697;3.95;1.0185;5.613;0.005;   ;12243.63;1.236;0.6707;0;290.81155;37.23353
290.92487;37.21118;1718985;5640;4.33;1.0027;13.941;0.11;   ;6676.35;1.032;0.6261;0;290.92487;37.21118
291.54758;37.28033;1721558;5561;4.48;0.9811;6.256;0.023;   ;9132.59;1.218;0.6593;0;291.54758;37.28033
292.01889;37.20557;1723845;5521;4.45;0.9704;9.373;0.013;   ;18678.93;1.393;0.7348;0;292.01889;37.20557
292.05222;37.24199;1723978;5653;4.5;1.0063;8.703;0.02;   ;13407.17;1.113;0.6412;0;292.05222;37.24199
292.33221;37.26308;1725376;5579;4.59;0.986;11.728;0.324;   ;9750.72;1.057;0.6346;0;292.33221;37.26308
290.45575;37.33637;1864087;5585;4.54;0.9877;19.181;0.055;   ;6100.45;0.703;0.4813;0;290.45575;37.33637
291.33841;37.34841;1867740;5672;4.12;1.0116;9.671;0.046;   ;13347.98;1.269;0.7111;0;291.33841;37.34841
291.57443;37.31554;1868785;5596;4.5;0.9907;24.219;0.232;   ;1135.86;0.388;0.2741;0;291.57443;37.31554
291.75415;37.31173;1869607;5725;3.63;1.0264;11.052;0.228;   ;2386.36;0.751;0.4828;0;291.75415;37.31173
291.8461;37.37719;1870028;5816;3.97;1.0523;24.609;0.087;   ;2195.42;1.023;0.5334;0;291.8461;37.37719
292.02795;37.37529;1870957;5765;4.33;1.0377;6.608;0.025;   ;6507.04;1.384;0.7471;0;292.02795;37.37529
292.35995;37.38798;1872530;5534;4.51;0.9739;6.709;0.386;   ;10967.88;1.126;0.6201;0;292.35995;37.38798
292.45828;37.38411;1872974;5716;4.42;1.0238;8.953;0.01;   ;19875.59;1.23;0.7027;0;292.45828;37.38411
292.67868;37.33257;1873925;5826;4.68;1.0552;12.001;0.403;SM1;3409.86;0.48;0.3333;0;292.67868;37.33257
292.69385;37.38646;1873987;5731;4.34;1.0281;14.456;0.054;   ;2622.96;1.115;0.6295;0;292.69385;37.38646
286.04193;37.44974;1995155;5530;4.45;0.9728;21.113;0.47;   ;6940.66;0.583;0.4216;0;286.04193;37.44974
286.09396;37.48228;1995340;5815;4.55;1.052;10.101;0.01;   ;3735.9;0.942;0.5863;0;286.09396;37.48228
286.12454;37.4148;1995443;5887;4.38;1.073;16.111;0.097;   ;6147.27;1.005;0.5725;0;286.12454;37.4148
286.15286;37.48364;1995526;5544;4.56;0.9766;19.163;0.335;   ;5788.03;0.922;0.5568;0;286.15286;37.48364
286.43573;37.44519;1996492;5760;4.39;1.0363;19.518;0.454;   ;2389.31;0.388;0.2933;0;286.43573;37.44519
286.51929;37.43606;1996760;5788;4.66;1.0443;13.121;0.105;   ;1624.29;0.385;0.2667;0;286.51929;37.43606
290.43893;37.49081;2010374;5863;4.61;1.066;15.175;0.329;   ;5257.82;0.437;0.3393;0;290.43893;37.49081
290.7507;37.46841;2011618;5564;4.53;0.982;11.876;0.095;   ;24525.58;1.25;0.6928;0;290.7507;37.46841
291.00357;37.43721;2012690;5618;4;0.9967;8.947;0.032;   ;9594.56;1.29;0.7234;0;291.00357;37.43721
291.19122;37.4261;2013503;5763;4.21;1.0371;19.065;0.088;   ;9285.15;0.888;0.5236;0;291.19122;37.4261
291.935;37.43854;2016657;5935;4.38;1.0873;10.235;0.092;   ;4079.7;0.727;0.4936;0;291.935;37.43854
292.38431;37.4693;2018701;5972;4.13;1.0984;11.779;0.058;   ;10116.49;1.16;0.6393;0;292.38431;37.4693
292.40594;37.41892;2018827;5936;4.12;1.0876;11.039;0.466;   ;1521.65;0.719;0.4981;0;292.40594;37.41892
286.38089;37.58135;2141812;5528;4.14;0.9722;18.523;0.083;   ;4913.33;0.842;0.5437;0;286.38089;37.58135
286.39154;37.59571;2141852;5657;4.47;1.0074;16.075;0.332;   ;3463.66;0.583;0.4107;0;286.39154;37.59571
286.39676;37.59765;2141865;5595;4.51;0.9904;17.206;0.126;SM2;4657.03;0.587;0.4125;0;286.39676;37.59765
290.25046;37.55254;2155064;5937;4.52;1.0879;12.338;0.134;   ;4293.71;0.764;0.5227;0;290.25046;37.55254
290.60623;37.57271;2156537;5925;4.46;1.0843;22.558;0.181;   ;2180.46;0.488;0.2932;0;290.60623;37.57271
290.70227;37.52195;2156933;5880;4.93;1.071;10.707;0.188;   ;3405.87;0.411;0.2833;0;290.70227;37.52195
290.82941;37.58608;2157495;5651;4.69;1.0058;21.519;0.166;   ;5493.46;0.545;0.3768;0;290.82941;37.58608
291.08508;37.57505;2158548;5755;4.31;1.0348;2.942;0.021;   ;32482.77;1.632;0.7986;0;291.08508;37.57505
291.10739;37.55157;2158641;5559;4.01;0.9806;7.377;0.02;   ;18197.18;1.489;0.7571;0;291.10739;37.55157
291.91559;37.56396;2162377;5540;4.13;0.9755;3.557;0.013;   ;17366.92;1.249;0.6523;0;291.91559;37.56396
292.30264;37.58411;2164227;5589;4.68;0.9887;6.65;0.006;   ;4778.68;1.114;0.6196;0;292.30264;37.58411
